player_name,country,club,league,age,position,squad_number,raw_position,date_of_birth,final_squad_selected,tm_player_id,tm_current_club_name,tm_current_club_domestic_competition_id,tm_sub_position,tm_foot,tm_height_in_cm,tm_national_team_name,tm_confederation,tm_image_url,minutes,goals,assists,shots,key_passes,progressive_passes,progressive_carries,successful_dribbles,tackles,interceptions,aerial_duels_won,pass_completion_pct,turnovers,club_level_score,recent_form_score,expected_minutes_score,non_penalty_goals,shots_in_box,touches_in_box,through_balls,crosses_into_box,shot_creating_actions_proxy,passes_into_final_third,carries_into_final_third,recoveries,pressures,long_passes,saves,clean_sheets,aerial_threat,xg_proxy,xa_proxy,yellow_cards,red_cards,recent_appearances,height_in_cm,market_value_score,tactical_fit_score,final_squad_selection_score,injury_availability_score,injury_severity_score,injury_status,recent_injury_count,is_injured,injury_source_url,caps,international_goals,market_value_eur,market_value_source,highest_market_value_eur,latest_market_value_eur,latest_market_value_date,salimt_latest_market_value_eur,salimt_latest_market_value_date,tm_market_value_in_eur,tm_highest_market_value_in_eur,tm_url,data_source,data_refresh_date,national_team_strength,group_difficulty_score,draw_context_score,group,group_opponents,previous_world_cup_minutes,previous_world_cup_matches,previous_world_cup_impact_score,senior_national_team_caps,major_tournament_experience,is_world_cup_debutant,goals_per90,non_penalty_goals_per90,assists_per90,shots_per90,key_passes_per90,progressive_passes_per90,progressive_carries_per90,passes_into_final_third_per90,carries_into_final_third_per90,successful_dribbles_per90,tackles_per90,interceptions_per90,aerial_duels_won_per90,turnovers_per90,through_balls_per90,crosses_into_box_per90,shot_creating_actions_proxy_per90,shots_in_box_per90,touches_in_box_per90,pressures_per90,recoveries_per90,long_passes_per90,saves_per90,clean_sheets_per90,aerial_threat_per90,goals_percentile,non_penalty_goals_percentile,assists_percentile,shots_percentile,key_passes_percentile,progressive_passes_percentile,progressive_carries_percentile,passes_into_final_third_percentile,carries_into_final_third_percentile,successful_dribbles_percentile,tackles_percentile,interceptions_percentile,aerial_duels_won_percentile,turnovers_percentile,through_balls_percentile,crosses_into_box_percentile,shot_creating_actions_proxy_percentile,shots_in_box_percentile,touches_in_box_percentile,pressures_percentile,recoveries_percentile,long_passes_percentile,saves_percentile,clean_sheets_percentile,aerial_threat_percentile,pass_completion_pct_percentile,xg_proxy_percentile,xa_proxy_percentile,attacking_score,creativity_score,progression_score,defensive_score,turnover_control_score,possession_score,overall_score,age_curve_score,age_group,ballprogressing_midfielder_score,chance_creator_score,box_threat_forward_score,highvolume_winger_score,defensive_midfielder_score,modern_fullback_score,ballplaying_centreback_score,highpressing_forward_score,goalkeeper_distributor_score,best_profile,best_profile_score,current_performance_score,role_fit_score,national_team_context_score,tournament_draw_score,availability_score,age_upside_score,baseline_expected_impact_score,pre_tournament_expected_impact_score,expected_impact_source,model_expected_impact_source,model_warning,historical_model_available,model_status,tournament_minutes,tournament_goals,tournament_assists,tournament_starts,tournament_shots,tournament_key_passes,tournament_tackles,tournament_interceptions,tournament_saves,tournament_clean_sheets,tournament_match_rating,has_tournament_match_data,raw_tournament_impact_score,position_adjusted_tournament_impact_score,actual_tournament_impact_score,performance_delta,performance_outcome,age_resale_score,value_efficiency_score,recent_senior_minutes,playing_time_confidence_score,value_opportunity_score,breakout_candidate_score,breakout_candidate_flag,recommendation,recommendation_reason,risk_score,risk_band,risk_reason
Elijah Just,New Zealand,Motherwell Football Club,scottish-premiership,26,Winger,11,,,True,485672.0,Motherwell Football Club,SC1,Right Winger,left,175.0,Unknown,Unknown,https://img.a.transfermarkt.technology/portrait/header/485672-1768832018.png?lm=1,2396,7,8,52,39,61,34,13,14,13,4,73.3,20,46.0,71.1,79.8,7,36,85,10,23,55,40,19,26,47,3,0,0,8,6.26,5.22,2.0,0.0,32,175.0,23.6,71.6,100,100.0,0.0,Available,,False,Unknown,42,9,350000,transfermarkt_profile,350000,350000.0,2023-06-26,,Unknown,350000.0,350000.0,https://www.transfermarkt.co.uk/elijah-just/profil/spieler/485672,real_wc2026_squads_transfermarkt_openfootball,2026-06-02,71.2,58.8,58.8,Group G,"Iran, Egypt, Belgium",,,,42.0,,,0.2629382303839733,0.2629382303839733,0.30050083472454087,1.9532554257095158,1.4649415692821368,2.2913188647746243,1.2771285475792988,1.5025041736227045,0.7136894824707846,0.48831385642737896,0.5258764607679466,0.48831385642737896,0.15025041736227043,0.7512520868113522,0.3756260434056761,0.8639398998330551,2.0659432387312187,1.352253756260434,3.192821368948247,1.7654424040066776,0.9766277128547579,0.11268781302170283,0.0,0.0,0.30050083472454087,76.2,76.2,85.1,74.3,82.7,49.5,40.1,50.0,41.1,39.6,84.7,86.1,55.4,95.0,85.6,83.7,82.7,75.7,75.2,86.6,82.7,44.1,50.2,50.2,58.4,19.8,77.2,84.9,76.0,84.2,45.0,80.5,5.0,26.0,61.8,82,Prime,41.1,83.8,74.4,55.8,67.3,66.7,44.7,80.9,38.1,Chance creator,83.8,61.8,83.8,71.2,58.8,100.0,82,74.6,74.6,transparent_baseline_fallback,disabled,"Historical World Cup outcome rows are present, but these required real pre-tournament feature values are missing: market_value_before_tournament, club_level_score, league_strength_score, club_minutes_previous_season, goals_previous_season, assists_previous_season, national_team_caps, expected_starter_score, national_team_strength, group_difficulty_score, injury_availability_score, recent_form_score, role_fit_score",False,disabled_missing_real_pre_tournament_features,0.0,0.0,0.0,0,0,0,0,0,0,0,,False,,,,,Pending,78.0,99.8,2396,99.8,86.6,85.0,False,Priority target,Strong value opportunity score from the active recruitment strategy weights.,0.1,Low,"Balanced risk profile across availability, minutes, age and fee exposure."
Sidny Lopes Cabral,Cape Verde,Sport Lisboa e Benfica,liga-portugal,23,Full-back,13,,,True,611855.0,Sport Lisboa e Benfica,PO1,Right-Back,both,176.0,Unknown,Unknown,https://img.a.transfermarkt.technology/portrait/header/611855-1767966134.jpg?lm=1,1717,6,6,30,23,23,14,5,14,11,7,73.7,11,59.0,65.1,39.5,6,17,42,6,17,35,15,8,28,35,2,0,3,9,3.17,3.28,4.0,0.0,26,176.0,23.6,47.4,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,8,3,350000,salimt_latest_market_value,350000,,Unknown,350000.0,2025-06-10,,,https://www.transfermarkt.co.uk/sidny-lopes-cabral/profil/spieler/611855,real_wc2026_squads_transfermarkt_openfootball,2026-06-02,59.2,93.9,93.9,Group H,"Spain, Uruguay, Saudi Arabia",,,,8.0,,,0.314502038439138,0.314502038439138,0.314502038439138,1.57251019219569,1.205591147350029,1.205591147350029,0.733838089691322,0.786255096097845,0.419336051252184,0.262085032032615,0.733838089691322,0.5765870704717531,0.366919044845661,0.5765870704717531,0.314502038439138,0.891089108910891,1.834595224228305,0.891089108910891,2.201514269073966,1.834595224228305,1.467676179382644,0.104834012813046,0.0,0.157251019219569,0.471753057658707,98.8,98.8,95.2,98.8,95.2,38.7,38.7,38.7,39.3,38.1,47.6,44.6,54.2,98.8,95.2,95.2,95.2,98.8,99.4,89.3,46.4,39.3,50.3,41.1,75.6,28.0,93.5,79.8,97.5,91.4,38.7,53.9,1.2000000000000028,25.6,55.6,82,U23,35.7,91.3,95.2,61.3,40.5,60.5,36.8,82.6,35.0,Chance creator,91.3,55.6,91.3,59.2,93.9,100.0,82,67.9,67.9,transparent_baseline_fallback,disabled,"Historical World Cup outcome rows are present, but these required real pre-tournament feature values are missing: market_value_before_tournament, club_level_score, league_strength_score, club_minutes_previous_season, goals_previous_season, assists_previous_season, national_team_caps, expected_starter_score, national_team_strength, group_difficulty_score, injury_availability_score, recent_form_score, role_fit_score",False,disabled_missing_real_pre_tournament_features,0.0,0.0,0.0,0,0,0,0,0,0,0,,False,,,,,Pending,100.0,98.7,1717,71.5,84.8,84.7,True,Priority target,Strong value opportunity score from the active recruitment strategy weights.,8.6,Low,"Balanced risk profile across availability, minutes, age and fee exposure."
Ajdin Hrustic,Australia,Heracles Almelo,eredivisie,29,Central midfielder,10,,,True,265625.0,Heracles Almelo,NL1,Central Midfield,left,180.0,Unknown,Unknown,https://img.a.transfermarkt.technology/portrait/header/265625-1764162948.png?lm=1,2522,4,7,32,31,58,26,10,21,18,9,78.1,17,59.1,70.1,77.4,4,19,45,8,5,45,38,14,41,49,3,0,0,11,3.47,3.72,6.0,0.0,30,180.0,27.6,67.1,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,37,4,600000,transfermarkt_profile,3000000,600000.0,2024-05-31,400000.0,2025-06-01,600000.0,3000000.0,https://www.transfermarkt.co.uk/ajdin-hrustic/profil/spieler/265625,real_wc2026_squads_transfermarkt_openfootball,2026-06-02,59.2,95.0,95.0,Group D,"Turkey, USA, Paraguay",,,,37.0,,,0.14274385408406026,0.14274385408406026,0.24980174464710547,1.141950832672482,1.1062648691514672,2.069785884218874,0.9278350515463918,1.3560666137985726,0.49960348929421095,0.3568596352101507,0.7494052339413164,0.6423473433782713,0.32117367168913563,0.6066613798572561,0.2854877081681205,0.17842981760507534,1.605868358445678,0.6780333068992863,1.605868358445678,1.7486122125297383,1.4631245043616177,0.1070578905630452,0.0,0.0,0.39254559873116573,75.3,75.3,93.0,72.8,93.7,46.2,38.0,46.2,35.4,38.6,67.7,70.3,58.2,94.9,93.7,91.8,93.7,71.5,72.2,63.3,72.2,40.5,50.3,50.3,57.0,31.3,79.7,90.5,75.0,92.8,41.8,67.2,5.099999999999994,29.0,58.1,73,Prime,39.8,92.7,73.3,57.8,58.3,66.4,43.7,69.5,39.0,Chance creator,92.7,58.1,92.7,59.2,95.0,100.0,73,75.9,75.9,transparent_baseline_fallback,disabled,"Historical World Cup outcome rows are present, but these required real pre-tournament feature values are missing: market_value_before_tournament, club_level_score, league_strength_score, club_minutes_previous_season, goals_previous_season, assists_previous_season, national_team_caps, expected_starter_score, national_team_strength, group_difficulty_score, injury_availability_score, recent_form_score, role_fit_score",False,disabled_missing_real_pre_tournament_features,0.0,0.0,0.0,0,0,0,0,0,0,0,,False,,,,,Pending,52.0,100.0,2522,100.0,84.6,81.2,False,Priority target,Strong value opportunity score from the active recruitment strategy weights.,0.2,Low,"Balanced risk profile across availability, minutes, age and fee exposure."
Joaquin Seys,Belgium,Club Brugge Koninklijke Voetbalvereniging,jupiler-pro-league,21,Full-back,18,,,True,981196.0,Club Brugge Koninklijke Voetbalvereniging,BE1,Left-Back,left,178.0,Unknown,Unknown,https://img.a.transfermarkt.technology/portrait/header/981196-1754511396.jpg?lm=1,3209,4,6,31,27,41,27,10,24,20,13,74.2,19,55.2,74.2,53.7,4,17,40,7,27,39,27,15,49,65,4,0,6,15,3.18,4.04,5.0,0.0,43,178.0,27.6,54.1,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,4,0,600000,transfermarkt_profile,600000,600000.0,2024-06-20,8000000.0,2025-06-11,600000.0,600000.0,https://www.transfermarkt.co.uk/joaquin-seys/profil/spieler/981196,real_wc2026_squads_transfermarkt_openfootball,2026-06-02,59.2,55.9,55.9,Group G,"Egypt, Iran, New Zealand",,,,4.0,,,0.11218448114677469,0.11218448114677469,0.16827672172016203,0.8694297288875038,0.7572452477407291,1.1498909317544406,0.7572452477407291,0.7572452477407291,0.4206918043004051,0.2804612028669367,0.6731068868806481,0.5609224057338734,0.36459956372701774,0.5328762854471798,0.1963228420068557,0.7572452477407291,1.093798691181053,0.47678404487379245,1.1218448114677468,1.8229978186350886,1.37425989404799,0.11218448114677469,0.0,0.16827672172016203,0.4206918043004051,89.3,89.3,79.2,87.5,78.0,38.1,39.9,38.1,39.9,41.1,39.3,42.3,53.6,95.8,79.8,74.4,78.6,86.3,86.9,75.0,39.3,39.9,50.3,48.2,56.0,30.1,94.0,86.3,89.4,80.7,39.1,47.6,4.200000000000003,27.5,51.6,64,U21,36.4,80.1,86.2,55.2,36.9,52.3,37.0,71.5,36.8,Chance creator,80.1,51.6,80.1,59.2,55.9,100.0,64,63.3,63.3,transparent_baseline_fallback,disabled,"Historical World Cup outcome rows are present, but these required real pre-tournament feature values are missing: market_value_before_tournament, club_level_score, league_strength_score, club_minutes_previous_season, goals_previous_season, assists_previous_season, national_team_caps, expected_starter_score, national_team_strength, group_difficulty_score, injury_availability_score, recent_form_score, role_fit_score",False,disabled_missing_real_pre_tournament_features,0.0,0.0,0.0,0,0,0,0,0,0,0,,False,,,,,Pending,100.0,97.4,3209,100.0,84.6,84.5,True,Priority target,"Good value, but expected tournament impact is only moderate.",0.2,Low,"Balanced risk profile across availability, minutes, age and fee exposure."
Sherel Floranus,Curaçao,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,eredivisie,27,Full-back,5,,,True,315211.0,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,NL1,Left-Back,right,181.0,Unknown,Unknown,https://img.a.transfermarkt.technology/portrait/header/315211-1755786473.jpg?lm=1,2981,1,4,20,21,61,26,10,28,24,14,74.6,18,60.1,67.5,77.7,1,11,26,5,24,29,40,14,56,60,5,0,6,15,2.06,3.17,5.0,0.0,34,181.0,30.7,67.9,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,27,0,800000,transfermarkt_profile,1000000,800000.0,2025-12-02,850000.0,2025-05-27,800000.0,1000000.0,https://www.transfermarkt.co.uk/sherel-floranus/profil/spieler/315211,real_wc2026_squads_transfermarkt_openfootball,2026-06-02,59.2,93.9,93.9,Group E,"Germany, Ecuador, Ivory Coast",,,,27.0,,,0.030191211003019122,0.030191211003019122,0.12076484401207649,0.6038242200603825,0.6340154310634016,1.8416638711841664,0.7849714860784972,1.207648440120765,0.42267695404226774,0.30191211003019125,0.8453539080845355,0.7245890640724589,0.42267695404226774,0.5434417980543442,0.15095605501509562,0.7245890640724589,0.8755451190875546,0.33210332103321033,0.7849714860784972,1.8114726601811473,1.690707816169071,0.15095605501509562,0.0,0.18114726601811473,0.4528681650452868,64.3,64.3,67.9,64.9,67.9,44.0,41.1,44.0,40.5,43.5,67.3,66.7,73.2,98.2,66.1,64.3,67.9,60.7,62.5,57.7,67.9,41.7,50.3,66.7,68.5,33.6,76.5,78.6,66.5,70.3,42.7,66.7,1.7999999999999972,29.5,53.9,82,Prime,40.1,69.9,66.8,50.4,56.3,56.9,45.1,63.0,41.5,Chance creator,69.9,53.9,69.9,59.2,93.9,100.0,82,71.9,71.9,transparent_baseline_fallback,disabled,"Historical World Cup outcome rows are present, but these required real pre-tournament feature values are missing: market_value_before_tournament, club_level_score, league_strength_score, club_minutes_previous_season, goals_previous_season, assists_previous_season, national_team_caps, expected_starter_score, national_team_strength, group_difficulty_score, injury_availability_score, recent_form_score, role_fit_score",False,disabled_missing_real_pre_tournament_features,0.0,0.0,0.0,0,0,0,0,0,0,0,,False,,,,,Pending,78.0,99.2,2981,100.0,84.1,82.6,False,Priority target,Strong value opportunity score from the active recruitment strategy weights.,0.2,Low,"Balanced risk profile across availability, minutes, age and fee exposure."
Caleb Yirenkyi,Ghana,Fodbold Club Nordsjælland,superliga,20,Central midfielder,3,,,True,1240763.0,Fodbold Club Nordsjælland,DK1,Central Midfield,right,182.0,Unknown,Unknown,https://img.a.transfermarkt.technology/portrait/header/1240763-1780386444.jpg?lm=1,2189,2,5,23,24,39,24,9,14,12,9,78.8,14,49.3,65.7,61.4,2,14,33,6,4,34,25,13,29,43,4,0,0,11,2.53,2.85,8.0,0.0,25,182.0,33.2,63.4,100,100.0,0.0,Available,,False,Unknown,10,0,1000000,salimt_latest_market_value,1000000,,Unknown,1000000.0,2025-06-15,,,https://www.transfermarkt.co.uk/caleb-yirenkyi/profil/spieler/1240763,real_wc2026_squads_transfermarkt_openfootball,2026-06-02,59.2,72.8,72.8,Group L,"Panama, England, Croatia",,,,10.0,,,0.08222932846048424,0.08222932846048424,0.2055733211512106,0.9456372772955687,0.9867519415258108,1.6034719049794426,0.9867519415258108,1.027866605756053,0.5344906349931475,0.3700319780721791,0.5756052992233897,0.4933759707629054,0.3700319780721791,0.5756052992233897,0.2466879853814527,0.16445865692096848,1.397898583828232,0.5756052992233897,1.3567839195979898,1.767930561900411,1.1923252626770215,0.16445865692096848,0.0,0.0,0.45226130653266333,64.6,64.6,85.4,62.7,85.4,38.0,39.9,37.3,39.9,41.8,44.9,48.1,70.9,91.1,85.4,88.6,85.4,62.0,63.3,88.0,47.5,44.9,50.3,50.3,71.5,35.8,63.9,85.1,63.5,85.3,39.0,56.6,8.900000000000006,31.2,53.1,46,U21,37.0,85.6,64.4,56.5,42.2,58.7,42.5,66.3,40.1,Chance creator,85.6,53.1,85.6,59.2,72.8,100.0,46,66.9,66.9,transparent_baseline_fallback,disabled,"Historical World Cup outcome rows are present, but these required real pre-tournament feature values are missing: market_value_before_tournament, club_level_score, league_strength_score, club_minutes_previous_season, goals_previous_season, assists_previous_season, national_team_caps, expected_starter_score, national_team_strength, group_difficulty_score, injury_availability_score, recent_form_score, role_fit_score",False,disabled_missing_real_pre_tournament_features,0.0,0.0,0.0,0,0,0,0,0,0,0,,False,,,,,Pending,92.0,95.1,2189,91.2,84.0,83.3,True,Priority target,Strong value opportunity score from the active recruitment strategy weights.,2.9,Low,"Balanced risk profile across availability, minutes, age and fee exposure."
Víctor Muñoz,Spain,Club Atlético Osasuna,laliga,22,Winger,25,,,True,935231.0,Club Atlético Osasuna,ES1,Left Winger,right,173.0,Unknown,Unknown,https://img.a.transfermarkt.technology/portrait/header/935231-1747037145.jpg?lm=1,2766,7,5,56,32,48,42,16,8,6,4,74.6,21,72.7,74.0,44.1,7,38,89,7,23,42,31,23,16,54,5,0,0,9,6.64,4.24,3.0,0.0,36,173.0,33.2,47.9,100,100.0,0.0,Available,,False,Unknown,2,1,1000000,salimt_latest_market_value,1000000,,Unknown,1000000.0,2025-06-24,,,https://www.transfermarkt.co.uk/victor-munoz/profil/spieler/935231,real_wc2026_squads_transfermarkt_openfootball,2026-06-02,59.2,93.9,93.9,Group H,"Cape Verde, Saudi Arabia, Uruguay",,,,2.0,,,0.227765726681128,0.227765726681128,0.16268980477223427,1.822125813449024,1.0412147505422993,1.561822125813449,1.3665943600867678,1.0086767895878526,0.7483731019522777,0.5206073752711496,0.2603036876355748,0.19522776572668113,0.1301518438177874,0.6832971800433839,0.227765726681128,0.7483731019522777,1.3665943600867678,1.2364425162689805,2.89587852494577,1.75704989154013,0.5206073752711496,0.16268980477223427,0.0,0.0,0.2928416485900217,69.8,69.8,65.8,67.3,63.4,40.1,44.1,40.1,43.6,44.6,44.6,43.1,50.5,91.1,61.9,56.4,64.4,65.3,64.4,78.2,40.6,49.0,50.2,50.2,56.9,31.7,80.4,77.7,70.6,67.4,42.1,49.4,8.900000000000006,30.9,54.4,82,U23,39.2,66.2,69.5,49.9,39.4,48.3,39.7,64.4,40.7,Box threat forward,69.5,54.4,69.5,59.2,93.9,100.0,82,65.2,65.2,transparent_baseline_fallback,disabled,"Historical World Cup outcome rows are present, but these required real pre-tournament feature values are missing: market_value_before_tournament, club_level_score, league_strength_score, club_minutes_previous_season, goals_previous_season, assists_previous_season, national_team_caps, expected_starter_score, national_team_strength, group_difficulty_score, injury_availability_score, recent_form_score, role_fit_score",False,disabled_missing_real_pre_tournament_features,0.0,0.0,0.0,0,0,0,0,0,0,0,,False,,,,,Pending,100.0,94.1,2766,100.0,83.5,83.3,True,Priority target,Strong value opportunity score from the active recruitment strategy weights.,0.2,Low,"Balanced risk profile across availability, minutes, age and fee exposure."
Tyrese Noslin,Curaçao,Sportclub Telstar,eredivisie,23,Winger,13,,,True,708005.0,Sportclub Telstar,NL1,Right Midfield,right,182.0,Unknown,Unknown,https://img.a.transfermarkt.technology/portrait/header/708005-1768295165.JPG?lm=1,2632,3,4,41,28,45,38,15,9,7,7,73.5,21,58.0,67.2,51.8,3,28,65,6,22,36,29,21,17,51,3,0,0,10,4.88,3.75,5.0,0.0,39,182.0,24.5,44.6,100,100.0,0.0,Available,,False,Unknown,6,1,400000,salimt_latest_market_value,400000,,Unknown,400000.0,2025-06-08,,,https://www.transfermarkt.co.uk/tyrese-noslin/profil/spieler/708005,real_wc2026_squads_transfermarkt_openfootball,2026-06-02,59.2,93.9,93.9,Group E,"Germany, Ecuador, Ivory Coast",,,,6.0,,,0.10258358662613982,0.10258358662613982,0.13677811550151975,1.4019756838905775,0.9574468085106383,1.5387537993920972,1.2993920972644377,0.9916413373860182,0.7180851063829787,0.5129179331306991,0.3077507598784195,0.2393617021276596,0.2393617021276596,0.7180851063829787,0.20516717325227965,0.7522796352583587,1.231003039513678,0.9574468085106383,2.222644376899696,1.743920972644377,0.581306990881459,0.10258358662613982,0.0,0.0,0.3419452887537994,51.5,51.5,56.9,50.0,55.0,39.6,41.1,39.6,42.1,43.6,49.5,47.5,79.7,93.6,55.9,58.9,55.0,49.0,49.0,59.9,46.0,43.1,50.2,50.2,65.3,21.8,68.1,74.0,54.7,60.3,40.8,54.4,6.400000000000006,26.0,47.5,91,U23,36.9,60.3,56.2,46.2,41.2,46.9,41.0,52.6,36.6,Chance creator,60.3,47.5,60.3,59.2,93.9,100.0,91,64.1,64.1,transparent_baseline_fallback,disabled,"Historical World Cup outcome rows are present, but these required real pre-tournament feature values are missing: market_value_before_tournament, club_level_score, league_strength_score, club_minutes_previous_season, goals_previous_season, assists_previous_season, national_team_caps, expected_starter_score, national_team_strength, group_difficulty_score, injury_availability_score, recent_form_score, role_fit_score",False,disabled_missing_real_pre_tournament_features,0.0,0.0,0.0,0,0,0,0,0,0,0,,False,,,,,Pending,100.0,97.7,2632,100.0,83.0,82.9,True,Priority target,"Good value, but expected tournament impact is only moderate.",0.1,Low,"Balanced risk profile across availability, minutes, age and fee exposure."
Christ Inao Oulaï,Ivory Coast,Trabzonspor Kulübü,super-lig,20,Central midfielder,26,,,True,1279526.0,Trabzonspor Kulübü,TR1,Central Midfield,right,173.0,Unknown,Unknown,https://img.a.transfermarkt.technology/portrait/header/1279526-1756305389.png?lm=1,2078,2,4,22,20,32,21,8,13,11,6,78.1,14,57.1,62.7,48.3,2,13,31,5,3,28,21,12,26,40,3,0,0,8,2.38,2.36,9.0,0.0,25,173.0,27.6,53.1,100,100.0,0.0,Available,,False,Unknown,8,0,600000,salimt_latest_market_value,600000,,Unknown,600000.0,2025-06-01,,,https://www.transfermarkt.co.uk/christ-inao-oulai/profil/spieler/1279526,real_wc2026_squads_transfermarkt_openfootball,2026-06-02,59.2,93.9,93.9,Group E,"Ecuador, Germany, Curaçao",,,,8.0,,,0.08662175168431184,0.08662175168431184,0.17324350336862368,0.9528392685274303,0.8662175168431184,1.3859480269489894,0.9095283926852743,0.9095283926852743,0.519730510105871,0.34648700673724736,0.563041385948027,0.47641963426371514,0.2598652550529355,0.6063522617901829,0.2165543792107796,0.12993262752646775,1.2127045235803657,0.563041385948027,1.3426371511068336,1.7324350336862369,1.126082771896054,0.12993262752646775,0.0,0.0,0.34648700673724736,66.5,66.5,81.0,63.9,81.0,35.4,36.7,35.4,38.0,37.3,43.7,44.3,47.5,94.3,81.6,81.6,81.0,58.9,62.7,41.8,41.1,41.8,50.3,50.3,48.7,31.3,61.7,75.9,63.0,79.8,36.3,43.6,5.700000000000003,27.5,47.9,46,U21,34.0,79.9,61.4,52.6,38.7,54.7,36.3,52.1,37.5,Chance creator,79.9,47.9,79.9,59.2,93.9,100.0,46,64.2,64.2,transparent_baseline_fallback,disabled,"Historical World Cup outcome rows are present, but these required real pre-tournament feature values are missing: market_value_before_tournament, club_level_score, league_strength_score, club_minutes_previous_season, goals_previous_season, assists_previous_season, national_team_caps, expected_starter_score, national_team_strength, group_difficulty_score, injury_availability_score, recent_form_score, role_fit_score",False,disabled_missing_real_pre_tournament_features,0.0,0.0,0.0,0,0,0,0,0,0,0,,False,,,,,Pending,92.0,97.8,2078,86.6,82.6,82.0,True,Priority target,"Good value, but expected tournament impact is only moderate.",4.2,Low,"Balanced risk profile across availability, minutes, age and fee exposure."
Sebastian Tounekti,Tunisia,The Celtic Football Club,scottish-premiership,23,Winger,26,,,True,539677.0,The Celtic Football Club,SC1,Left Winger,right,170.0,Unknown,Unknown,https://img.a.transfermarkt.technology/portrait/header/539677-1771532390.jpg?lm=1,2493,4,2,43,21,45,35,14,9,8,3,73.2,21,45.6,65.0,59.3,4,30,70,4,19,25,29,19,18,48,3,0,0,7,5.2,2.8,5.0,0.0,41,170.0,22.7,54.2,100,100.0,0.0,Available,,False,Unknown,10,1,300000,transfermarkt_profile,350000,300000.0,2023-06-29,1200000.0,2025-06-17,300000.0,350000.0,https://www.transfermarkt.co.uk/sebastian-tounekti/profil/spieler/539677,real_wc2026_squads_transfermarkt_openfootball,2026-06-02,59.2,81.2,81.2,Group F,"Sweden, Japan, Netherlands",,,,10.0,,,0.1444043321299639,0.1444043321299639,0.07220216606498195,1.552346570397112,0.7581227436823105,1.6245487364620939,1.263537906137184,1.0469314079422383,0.6859205776173285,0.5054151624548736,0.3249097472924188,0.2888086642599278,0.10830324909747292,0.7581227436823105,0.1444043321299639,0.6859205776173285,0.9025270758122744,1.0830324909747293,2.527075812274368,1.7328519855595668,0.6498194945848376,0.10830324909747292,0.0,0.0,0.2527075812274368,56.4,56.4,48.5,54.5,45.5,41.1,39.6,41.1,39.1,41.1,52.0,53.5,46.5,95.5,45.5,43.6,45.5,55.0,53.5,45.5,51.5,43.6,50.2,50.2,47.5,18.3,69.1,63.4,58.7,50.6,40.4,50.5,4.5,24.2,45.6,91,U23,36.6,49.8,58.0,41.5,44.0,42.6,36.8,51.3,36.0,Box threat forward,58.0,45.6,58.0,59.2,81.2,100.0,91,63.5,63.5,transparent_baseline_fallback,disabled,"Historical World Cup outcome rows are present, but these required real pre-tournament feature values are missing: market_value_before_tournament, club_level_score, league_strength_score, club_minutes_previous_season, goals_previous_season, assists_previous_season, national_team_caps, expected_starter_score, national_team_strength, group_difficulty_score, injury_availability_score, recent_form_score, role_fit_score",False,disabled_missing_real_pre_tournament_features,0.0,0.0,0.0,0,0,0,0,0,0,0,,False,,,,,Pending,100.0,97.5,2493,100.0,82.5,82.4,True,Priority target,"Good value, but expected tournament impact is only moderate.",0.1,Low,"Balanced risk profile across availability, minutes, age and fee exposure."
