player_name,country,market_value_eur,market_value_source,highest_market_value_eur,latest_market_value_eur,latest_market_value_date,salimt_latest_market_value_eur,salimt_latest_market_value_date,tm_market_value_in_eur,tm_highest_market_value_in_eur,tm_url,data_source,data_refresh_date
Matěj Kovář,Czech Republic,7000000,transfermarkt_profile,7000000,7000000.0,2025-12-02,5000000.0,2025-06-04,7000000.0,7000000.0,https://www.transfermarkt.co.uk/matej-kovar/profil/spieler/550829,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
David Zima,Czech Republic,4000000,transfermarkt_profile,7500000,4000000.0,2024-06-05,5500000.0,2025-06-16,4000000.0,7500000.0,https://www.transfermarkt.co.uk/david-zima/profil/spieler/544149,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Tomáš Holeš,Czech Republic,0,missing,0,,,,,,,https://www.transfermarkt.co.uk/tomas-holes/profil/spieler/216278,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Robin Hranáč,Czech Republic,7000000,transfermarkt_profile,8000000,7000000.0,2025-12-19,3500000.0,2025-06-04,7000000.0,8000000.0,https://www.transfermarkt.co.uk/robin-hranac/profil/spieler/620217,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Vladimír Coufal,Czech Republic,2700000,transfermarkt_profile,12000000,2700000.0,2025-12-19,5000000.0,2025-05-29,2700000.0,12000000.0,https://www.transfermarkt.co.uk/vladimir-coufal/profil/spieler/157672,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Štěpán Chaloupek,Czech Republic,0,missing,0,,,,,,,https://www.transfermarkt.co.uk/stepan-chaloupek/profil/spieler/944827,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Ladislav Krejčí,Czech Republic,22000000,transfermarkt_profile,22000000,22000000.0,2025-12-09,,,22000000.0,22000000.0,https://www.transfermarkt.co.uk/ladislav-krejci/profil/spieler/345911,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Vladimír Darida,Czech Republic,400000,transfermarkt_profile,10000000,400000.0,2025-12-22,500000.0,2025-05-22,400000.0,10000000.0,https://www.transfermarkt.co.uk/vladimir-darida/profil/spieler/179643,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Adam Hložek,Czech Republic,15000000,transfermarkt_profile,20000000,15000000.0,2025-12-19,18000000.0,2025-06-04,15000000.0,20000000.0,https://www.transfermarkt.co.uk/adam-hlozek/profil/spieler/552057,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Patrik Schick,Czech Republic,25000000,transfermarkt_profile,50000000,25000000.0,2025-12-19,27000000.0,2025-06-04,25000000.0,50000000.0,https://www.transfermarkt.co.uk/patrik-schick/profil/spieler/242086,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Jan Kuchta,Czech Republic,4000000,transfermarkt_profile,5000000,4000000.0,2023-06-20,4000000.0,2025-06-16,4000000.0,5000000.0,https://www.transfermarkt.co.uk/jan-kuchta/profil/spieler/334802,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Lukáš Červ,Czech Republic,4500000,salimt_latest_market_value,4500000,,,4500000.0,2025-06-16,,,https://www.transfermarkt.co.uk/lukas-cerv/profil/spieler/611049,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Mojmír Chytil,Czech Republic,0,missing,0,,,,,,,https://www.transfermarkt.co.uk/mojmir-chytil/profil/spieler/405855,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
David Jurásek,Czech Republic,4500000,transfermarkt_profile,8000000,4500000.0,2025-12-17,5000000.0,2025-06-04,4500000.0,8000000.0,https://www.transfermarkt.co.uk/david-jurasek/profil/spieler/500054,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Pavel Šulc,Czech Republic,10000000,salimt_latest_market_value,10000000,,,10000000.0,2025-06-16,,,https://www.transfermarkt.co.uk/pavel-sulc/profil/spieler/500053,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Jindřich Staněk,Czech Republic,3500000,transfermarkt_profile,4500000,3500000.0,2023-06-20,3000000.0,2025-06-16,3500000.0,4500000.0,https://www.transfermarkt.co.uk/jindrich-stanek/profil/spieler/242089,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Lukáš Provod,Czech Republic,0,missing,0,,,,,,,https://www.transfermarkt.co.uk/lukas-provod/profil/spieler/292779,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Michal Sadílek,Czech Republic,7500000,transfermarkt_profile,8000000,7500000.0,2025-12-22,8000000.0,2025-05-27,7500000.0,8000000.0,https://www.transfermarkt.co.uk/michal-sadilek/profil/spieler/321204,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Tomáš Chorý,Czech Republic,1800000,transfermarkt_profile,2000000,1800000.0,2023-09-20,3500000.0,2025-06-16,1800000.0,2000000.0,https://www.transfermarkt.co.uk/tomas-chory/profil/spieler/198614,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
