player_name,country,minutes,goals,assists,shots,key_passes,progressive_passes,progressive_carries,successful_dribbles,tackles,interceptions,aerial_duels_won,pass_completion_pct,turnovers,club_level_score,recent_form_score,expected_minutes_score,non_penalty_goals,shots_in_box,touches_in_box,through_balls,crosses_into_box,shot_creating_actions_proxy,passes_into_final_third,carries_into_final_third,recoveries,pressures,long_passes,saves,clean_sheets,aerial_threat,xg_proxy,xa_proxy,yellow_cards,red_cards,recent_appearances,height_in_cm,market_value_score,tactical_fit_score,final_squad_selection_score,injury_availability_score,injury_severity_score,injury_status,recent_injury_count,is_injured,injury_source_url,caps,international_goals,data_source,data_refresh_date
Matěj Kovář,Czech Republic,3960,0,0,5,2,93,30,10,34,29,26,78.9,12,71.2,57.4,67.0,0,2,5,0,0,2,60,16,67,55,50,106,8,26,0.1,0.05,0.0,0.0,44,196.0,62.2,70.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,19,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
David Zima,Czech Republic,690,0,0,2,1,16,6,2,7,6,4,81.5,3,56.0,38.7,60.9,0,1,2,0,0,1,10,3,14,13,8,0,1,4,0.05,0.02,2.0,0.0,8,190.0,52.4,59.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,24,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Tomáš Holeš,Czech Republic,188,0,1,1,3,3,1,0,2,2,1,76.2,1,41.0,40.3,69.4,0,1,2,1,1,5,2,1,4,4,2,0,0,1,0.05,0.77,0.0,0.0,4,180.0,9.5,55.1,100,100.0,0.0,Available,,False,,40,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Robin Hranáč,Czech Republic,2423,1,0,11,4,56,23,8,23,20,16,82.8,9,80.9,63.1,48.2,1,6,14,1,0,4,36,13,47,47,30,0,5,17,1.08,0.1,6.0,0.0,31,190.0,62.2,54.0,100,100.0,0.0,Available,,False,,13,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Vladimír Coufal,Czech Republic,3108,1,9,20,36,90,32,12,34,29,11,76.5,16,75.0,76.8,91.3,1,11,26,10,29,54,58,18,66,63,7,0,6,12,1.33,7.2,4.0,0.0,35,174.0,45.2,82.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,61,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Štěpán Chaloupek,Czech Republic,559,1,1,5,4,4,2,1,5,4,3,76.2,3,41.0,45.6,37.1,1,3,8,1,1,6,3,1,10,11,6,0,1,3,0.93,0.8,1.0,0.0,8,188.0,9.5,37.3,100,100.0,0.0,Available,,False,,4,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Ladislav Krejčí,Czech Republic,2856,2,1,16,7,88,32,11,30,26,19,85.2,8,89.9,74.6,74.6,2,8,19,2,1,9,57,18,60,56,38,0,6,20,1.96,0.88,5.0,0.0,34,191.0,80.5,72.1,100,100.0,0.0,Available,,False,,26,5,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Vladimír Darida,Czech Republic,0,0,0,1,0,2,1,0,1,1,0,76.9,1,46.3,22.8,69.5,0,1,2,0,0,0,1,1,2,2,0,0,0,0,0.05,0.0,,,0,172.0,24.5,60.1,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,78,8,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Adam Hložek,Czech Republic,37,0,0,1,1,3,2,1,0,0,0,78.9,1,85.0,39.7,70.2,0,1,2,0,0,1,2,1,1,2,0,0,0,0,0.05,0.02,0.0,0.0,5,188.0,73.9,70.4,100,6.0,94.0,Active: Quarantine; Ill,0.0,True,https://github.com/salimt/football-datasets,42,5,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Patrik Schick,Czech Republic,2865,22,4,110,30,121,60,22,17,15,11,80.9,16,88.2,89.4,87.4,22,77,183,7,3,38,79,33,31,56,12,0,0,20,21.01,3.55,2.0,0.0,42,191.0,83.0,81.7,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,52,25,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
